prov_id,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,pop2018,pop2019,pop2020
702,65012.426,69010.808,70558.686,73729.10500000001,80030.207,82216.075,87246.304,93387.793,97230.58899999999,101086.291,113584.213,115776.264,120860.63299999999,129492.577,137124.41,145915.084,156135.087,165197.118,175620.9,185864.663
703,56691.7865,57745.42540000001,58799.552599999995,59941.7679,61227.6669,62218.6119,63155.5281,64466.6262,65337.846600000004,66512.8825,68193.81520000001,69731.85500000001,70934.4607,72298.57070000001,73765.1501,75195.8995,76669.9626,78169.7586,79662.6307,81153.3837
704,71776.8016,73297.07800000001,74986.31349999999,77018.4185,78976.12150000001,80881.02059999999,82818.6596,85124.6847,87141.0036,89120.7945,91766.1315,94810.987,97331.421,100264.177,102904.772,105697.317,108863.55900000001,111912.422,115234.30600000001,118632.625
705,63606.954,65065.983,66229.005,68155.563,71214.206,72268.593,74590.18100000001,76460.682,77792.92199999999,79625.659,83308.018,86232.812,88024.36200000001,90374.327,92683.076,96258.497,99613.669,102470.288,105841.244,109341.27799999999
706,38725.9092,39123.3558,39591.9351,40116.0512,40727.369399999996,41043.198,41669.236600000004,42090.4885,42646.0034,43006.0876,43925.5148,44598.2512,45118.1432,45620.4143,46110.594000000005,47014.3804,47572.1809,48317.7087,48976.9574,49645.0819
707,101069.8768,102735.74,104237.2062,105888.4617,107459.6769,109078.9559,110754.7759,112496.96650000001,114271.15789999999,116158.91780000001,117853.6446,119722.2549,121616.4185,123570.38870000001,125639.3626,127519.70319999999,129599.99489999999,131697.2016,133862.94809999998,136065.8037
708,27454.1571,27374.815899999998,27297.012700000003,27216.103300000002,27130.5281,27052.436999999998,26975.279400000003,26899.5601,26829.825999999997,26747.9073,26696.9886,26640.367700000003,26579.5812,26505.7383,26432.011799999997,26375.131400000002,26318.6592,26260.799499999997,26206.679900000003,26155.4331
709,26551.5202,26930.0039,27238.6129,27523.7598,28241.3223,28634.2442,29096.6181,29580.6699,30148.001900000003,30891.5066,31376.9315,31838.829599999997,32286.8246,32640.7376,33174.3992,33913.8719,34604.5106,35172.8094,35823.0734,36458.0657
710,139957.868,142707.312,146160.57799999998,149904.38,152442.40899999999,156149.56699999998,159128.612,162372.111,166955.327,170652.965,170816.255,175159.759,179468.95799999998,184187.283,188860.834,192792.057,197054.582,202010.55800000002,206889.153,211792.874
711,80792.41440000001,82648.66219999999,84398.63500000001,86190.56719999999,88050.8675,90083.107,92054.6331,94304.07519999999,96446.6494,98805.6225,102056.04199999999,103416.4164,106111.7032,108722.2464,111123.63,113725.2501,116650.3616,119131.0063,121899.4313,124813.4704
